Title,Author,Room,Image
La Musica (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,052.png
Ritratto di Maria Farnese d'Este,Suttermans Justus (attr.) (Anversa  1597 - Firenze  1681),16,053.png
Madonna col Bambino,Panetti Domenico (Ferrara  notizie dal 1489 al 1512 ca.),10,054.png
Madonna col Bambino,Allegri Antonio detto Correggio (Correggio  1489 - 1534),10,055.png
Madonna col Bambino e santi Caterina d'Alessandria  Scolastica  Pietro  Agostino  Giovanni Battista e Paolo,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,056.png
Nascita del Battista,Liberi Pietro detto Libertino (Padova  1605 – Venezia  1687),19,057.png
L'Ebbrezza (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,058.png
Adorazione del Bambino,Botticini Francesco (Firenze  1446 - 1498),8,059.png
La Seduzione (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,060.png
Giuditta con la testa di Oloferne,Bertucci Giacomo detto Jacopone da Faenza (Faenza  1502 - 1579),18,061.png
Giovane imperatore,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,062.png
Ritratto di buffone di corte,Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,063.png
Apparizione dell'angelo a Elia,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,064.png
Madonna col Bambino,Paolo di Bernardino di Antonio del Signoraccio detto Fra' Paolino da Pistoia (Pistoia  1488 - 1547),8,065.png
Flora,Carracci Annibale o Carracci Ludovico,20,066.png
L'Amore (o L'Abbraccio) (Figure allegoriche),Luteri Giovanni di Niccolò detto Dosso Dossi (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,067.png
Annunciazione,Tisi Benvenuto detto Garofalo (bottega di) (Ferrara  1481 ca. - 1559),15,068.png
Ritratti ideali di Aurelio e Tiberio Azio d'Este,Cervi Bernardino (1586 ca. - Modena  1630),20,069.png
Vulcano  Minerva e Amore (La nascita di Erittonio),Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,070.png
La dea Latona trasforma i contadini della Licia in rane,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,071.png
Apparizione dei tre angeli ad Abramo,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,072.png
Il Genio dell'Africa,Venturini Gaspare (Ferrara  notizie dal 1576 al 1593),20,073.png
Madonna della Colonna (Madonna col Bambino),Canozi Cristoforo da Lendinara (Lendinara  1420 ca. - Parma  1490 ca.),4,074.png
Caduta di Fetonte,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,075.png
Ritratto di fra Giovan Battista da Modena  già duca Alfonso III d'Este,Loves Matteo (Colonia – Bologna  1647 ca.),16,076.png
Ercole,Belloni Giulio (attr.) (Ferrara  fine XVI secolo – inizi XVII secolo),20,077.png
Imperatore con scudo,Belloni Giulio (attr.) (Ferrara  fine XVI secolo – inizi XVII secolo),20,078.png
Madonna dell'Umiltà,Serafini Paolo  detto Paolo da Modena (Modena  XIV secolo),3,079.png
Copia dal Ritratto di Ercole I d'Este,Luteri Giovanni di Niccolò detto Dosso Dossi (da Ercole de' Roberti) (Tramuschio (Mirandola)  1487 ca. - Ferrara  1542),13,080.png
Ritratto della principessa Anna Maria Maurizia d'Asburgo,Pourbus Frans II il Giovane (Anversa  1569 - Parigi  1622),16,081.png
Madonna col Bambino; Cristo nel sepolcro; Annunciazione; Santi,Maestro di Torre di Palme (attr.) (Attivo alla fine del XIV secolo a Venezia),3,082.png
Ritratto del duca Francesco I d'Este,Velázquez Diego Rodríguez de Silva (Siviglia  1599 - Madrid  1660),16,083.png
Priapo insidia Lotide addormentata,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,084.png
Allegoria della Pace che brucia gli strumenti della guerra,Barbieri Giovan Francesco detto Guercino (Cento  1591 - Bologna  1666),21,085.png
Ritratto di gentiluomo in armatura,Aretusi Cesare (Bologna  1549 - 1612),16,086.png
Re Davide,Cavedone Giacomo (Sassuolo  1577 - Bologna  1660),21,087.png
Piramo e Tisbe,Robusti Jacopo detto Tintoretto (Venezia  1518 - 1594),19,088.png
Ultima cena,Donducci Giovanni Andrea detto Mastelletta (Bologna  1575 - 1655),20,089.png
San Pietro liberato dall'angelo,Turchi Alessandro detto Orbetto (Verona  1578 - Roma  1649),21,090.png
Allegoria della Pazienza,Filippi Camillo (Ferrara  1500 ca. - 1574)  Filippi Sebastiano detto Bastianino (Ferrara  1528 ca. - 1602),13,091.png
Ecce Homo,Solario Antonio detto Zingaro (Civita d’Antino  1465 ca. - Napoli  1530),9,092.png
La Fama,Scarsella Ippolito detto Scarsellino (Ferrara  1550 ca. - 1620),20,093.png
Galatea,Carracci Ludovico (Bologna  1555 - 1619),20,094.png
